filename stability_measured stability_predicted
0-QH-Li.poscar_GaCdDyEr.vasp None 9.875697e-02
1-QH-Li.poscar_BeFeCoGe.vasp None 4.456800e-02
2-QH-Li.poscar_AlCuHfAu.vasp None 6.010300e-02
3-QH-Li.poscar_AlFeCoHf.vasp None 4.314340e-02
4-QH-Li.poscar_CdDyErHg.vasp None 8.761985e-02
5-QH-Li.poscar_CdEuDyHg.vasp None 9.642017e-02
6-QH-Li.poscar_CdEuErHg.vasp None 9.358421e-02
7-QH-Li.poscar_GaEuHoHg.vasp None 9.946791e-02
8-QH-Li.poscar_CdInDyEr.vasp None 6.405589e-02
9-QH-Li.poscar_CdInEuDy.vasp None 9.060368e-02
10-QH-Li.poscar_CdInEuEr.vasp None 7.293803e-02
11-QH-Li.poscar_CdInGdDy.vasp None 9.387363e-02
12-QH-Li.poscar_CdInDyHo.vasp None 6.191517e-02
13-QH-Li.poscar_CdInHoEr.vasp None 6.974142e-02
14-QH-Li.poscar_CdInEuHo.vasp None 8.869854e-02
15-QH-Li.poscar_CrCoGaIr.vasp None 9.821248e-02
16-QH-Li.poscar_FeCoGaIr.vasp None 8.599576e-02
17-QH-Li.poscar_CoGaHfIr.vasp None 8.660129e-02
18-QH-Li.poscar_FeGaHfIr.vasp None 6.866572e-02
19-QH-Li.poscar_LiAlAgAu.vasp None 9.863163e-02
20-QH-Li.poscar_LiAlAgCd.vasp None 7.741030e-02
21-QH-Li.poscar_LiAgCdAu.vasp None 6.037483e-02
22-QH-Li.poscar_LiAlCuAg.vasp None 7.719130e-02
23-QH-Li.poscar_LiCuAgAu.vasp None 8.726799e-02
24-QH-Li.poscar_LiAlCuAu.vasp None 5.808679e-02
25-QH-Li.poscar_LiCuAgCd.vasp None 5.823974e-02
26-QH-Li.poscar_LiAlCuCd.vasp None 7.943073e-02
27-QH-Li.poscar_LiCuCdAu.vasp None 7.077079e-02
28-QH-Li.poscar_LiGaAgAu.vasp None 8.730338e-02
29-QH-Li.poscar_LiGaAgCd.vasp None 6.644134e-02
30-QH-Li.poscar_LiCuGaAg.vasp None 6.328514e-02
31-QH-Li.poscar_LiCuGaAu.vasp None 8.794816e-02
32-QH-Li.poscar_LiCuGaCd.vasp None 7.676442e-02
33-QH-Li.poscar_LiCoCuGa.vasp None 7.042352e-02
34-QH-Li.poscar_LiFeCoGa.vasp None 8.974935e-02
35-QH-Li.poscar_LiCoCuGe.vasp None 7.528910e-02
36-QH-Li.poscar_LiFeCoGe.vasp None 7.216899e-02
37-QH-Li.poscar_LiAgCdHg.vasp None 8.139317e-02
38-QH-Li.poscar_LiCdAuHg.vasp None 9.045968e-02
39-QH-Li.poscar_LiCuAgHg.vasp None 9.338333e-02
40-QH-Li.poscar_LiAgInAu.vasp None 7.209074e-02
41-QH-Li.poscar_LiAgCdIn.vasp None 4.808377e-02
42-QH-Li.poscar_LiCdInAu.vasp None 8.284462e-02
43-QH-Li.poscar_LiCuAgIn.vasp None 5.355001e-02
44-QH-Li.poscar_LiCuInAu.vasp None 8.661623e-02
45-QH-Li.poscar_LiCuCdIn.vasp None 6.859029e-02
46-QH-Li.poscar_LiGaCdIn.vasp None 9.996916e-02
47-QH-Li.poscar_LiCuInHg.vasp None 8.836866e-02
48-QH-Li.poscar_AlCuLuAu.vasp None 9.063102e-02
49-QH-Li.poscar_LiAlCuLu.vasp None 8.793804e-02
50-QH-Li.poscar_LiMgAlAg.vasp None 9.784265e-02
51-QH-Li.poscar_LiMgAgAu.vasp None 9.724858e-02
52-QH-Li.poscar_LiMgAlAu.vasp None 9.971667e-02
53-QH-Li.poscar_LiMgAgCd.vasp None 5.524598e-02
54-QH-Li.poscar_LiMgAlCd.vasp None 9.678456e-02
55-QH-Li.poscar_LiMgCdAu.vasp None 8.372903e-02
56-QH-Li.poscar_LiMgCuAg.vasp None 9.037793e-02
57-QH-Li.poscar_LiMgAlCu.vasp None 2.360551e-02
58-QH-Li.poscar_LiMgCuAu.vasp None 9.964612e-02
59-QH-Li.poscar_LiMgCuCd.vasp None 6.854067e-02
60-QH-Li.poscar_LiMgGaAg.vasp None 7.854702e-02
